,applications,acceptances,per_pupil_spending,avg_class_size,asian_percent,black_percent,hispanic_percent,multiple_percent,white_percent,rigorous_instruction,collaborative_teachers,supportive_environment,effective_school_leadership,strong_family_community_ties,trust,disability_percent,poverty_percent,ESL_percent,school_size,student_achievement,reading_scores_exceed,math_scores_exceed,acceptance_rate,percentile
82,17,1,24818.0,21.24,0.0,2.3,91.7,0.8,5.3,2.86,3.77,2.61,3.13,3.27,3.91,27.9,88.7,58.9,265.0,3.25,0.17,0.15,0.06,25-50th
83,36,2,17120.0,31.12,4.3,3.4,51.8,4.1,36.4,3.95,3.63,3.84,3.93,4.36,3.9,17.5,42.1,4.8,799.0,3.5,0.64,0.6,0.06,50-75th
85,8,2,21254.0,25.3,0.5,2.4,96.9,0.2,0.0,3.8,3.63,3.75,3.69,3.85,3.79,22.0,91.6,35.8,419.0,3.8,0.46,0.51,0.25,0-25th
87,81,2,20477.0,21.77,2.4,9.2,82.2,1.4,4.8,3.0,3.64,3.79,3.7,3.83,4.07,14.0,80.1,2.7,292.0,4.43,0.67,0.64,0.02,75-100th
88,24,9,18641.0,29.56,2.1,2.0,78.9,1.1,15.9,4.14,3.94,4.12,4.46,4.36,4.53,19.5,66.7,15.2,559.0,4.06,0.56,0.48,0.38,50-75th
89,13,0,18560.0,28.24,1.5,3.5,91.4,0.7,3.0,3.24,3.33,3.27,3.12,3.4,3.31,14.6,82.6,5.5,602.0,3.64,0.53,0.45,0.0,25-50th
90,12,0,19824.0,22.74,1.5,1.5,91.9,0.8,4.3,3.82,3.66,3.9,3.99,3.94,4.18,13.2,81.0,25.3,395.0,4.09,0.44,0.4,0.0,25-50th
91,27,2,21258.0,21.23,0.2,4.3,94.3,0.0,1.2,4.59,4.18,4.19,3.64,4.48,3.86,23.2,97.8,37.3,418.0,3.53,0.32,0.26,0.07,50-75th
92,22,1,21632.0,21.11,0.6,3.2,94.5,0.0,1.6,4.53,4.17,3.12,4.19,4.3,3.87,20.6,92.6,39.0,310.0,3.66,0.29,0.23,0.05,25-50th
93,20,1,22577.0,22.5,0.5,12.0,84.2,0.5,2.8,4.79,4.41,4.04,3.83,3.62,3.86,27.1,90.5,34.3,399.0,3.84,0.31,0.22,0.05,25-50th
94,9,0,24851.0,16.22,3.9,12.7,82.5,0.4,0.4,2.35,3.21,2.88,3.42,4.37,3.83,35.8,99.1,50.7,229.0,2.85,0.15,0.15,0.0,0-25th
95,16,1,18856.0,16.67,0.9,6.5,90.8,0.3,1.6,3.72,4.64,4.05,4.42,4.24,4.39,18.9,93.0,17.4,703.0,4.11,0.36,0.29,0.06,25-50th
96,6,0,19546.0,26.0,0.9,3.4,91.7,0.6,3.4,4.75,4.34,4.06,4.3,3.66,4.33,20.6,76.3,15.5,815.0,3.21,0.36,0.27,0.0,0-25th
97,0,0,22135.0,23.0,0.0,0.0,100.0,0.0,0.0,3.77,3.34,4.32,3.69,4.15,4.21,0.0,98.4,85.3,129.0,3.45,0.15,0.15,,0-25th
98,15,1,17838.0,28.33,1.9,1.8,93.9,0.7,1.8,3.9,3.86,3.79,3.59,4.17,3.62,15.6,89.5,12.8,571.0,4.49,0.59,0.57,0.07,25-50th
