,applications,acceptances,per_pupil_spending,avg_class_size,asian_percent,black_percent,hispanic_percent,multiple_percent,white_percent,rigorous_instruction,collaborative_teachers,supportive_environment,effective_school_leadership,strong_family_community_ties,trust,disability_percent,poverty_percent,ESL_percent,school_size,student_achievement,reading_scores_exceed,math_scores_exceed,acceptance_rate,percentile
278,45,2,18095.0,20.77,0.6,93.8,3.5,1.1,1.1,3.63,3.95,2.64,3.55,2.79,3.49,19.2,78.1,3.9,666.0,3.64,0.35,0.22,0.04,50-75th
279,42,2,22318.0,22.88,0.8,89.0,7.5,0.8,2.0,2.94,2.98,2.49,3.47,3.98,3.01,20.6,81.5,2.0,399.0,2.94,0.37,0.23,0.05,50-75th
280,18,1,23191.0,20.08,0.0,87.8,7.6,0.8,3.8,3.08,2.89,3.92,3.89,4.57,3.79,26.0,91.6,11.5,131.0,3.67,0.22,0.15,0.06,25-50th
281,11,0,21936.0,17.37,0.6,87.0,8.5,1.7,2.3,3.35,3.45,3.41,3.62,3.39,3.55,31.6,91.5,7.3,177.0,3.58,0.26,0.15,0.0,25-50th
284,17,1,21960.0,21.24,0.9,3.1,94.5,1.5,0.0,3.34,4.26,3.67,4.15,4.19,3.85,23.4,92.8,44.6,457.0,2.98,0.29,0.27,0.06,25-50th
285,11,0,20088.0,20.0,7.2,8.3,81.1,2.0,1.4,2.95,3.75,3.84,3.63,3.65,4.01,18.7,98.2,26.8,444.0,2.73,0.35,0.24,0.0,25-50th
286,23,2,22923.0,20.33,17.1,35.7,42.5,2.4,2.2,2.88,3.67,2.61,3.22,3.01,3.64,25.2,92.9,25.2,409.0,3.37,0.2,0.15,0.09,50-75th
287,81,9,18982.0,22.03,16.8,48.5,30.0,1.8,3.0,3.33,3.16,2.51,3.57,2.38,3.39,24.5,93.7,14.6,567.0,4.12,0.3,0.21,0.11,75-100th
288,21,1,22663.0,21.71,1.4,64.3,31.1,0.6,2.6,2.79,3.19,2.62,3.49,3.28,2.9,28.0,80.6,1.4,350.0,2.89,0.32,0.21,0.05,25-50th
289,7,0,18399.0,23.43,0.7,70.1,26.6,1.5,1.1,3.29,3.06,3.38,3.44,3.73,3.28,20.1,84.1,2.6,546.0,2.35,0.39,0.27,0.0,0-25th
290,10,0,18686.0,23.4,3.2,62.9,31.3,1.8,0.8,3.66,4.25,3.47,4.4,3.89,3.73,22.2,87.1,3.8,496.0,3.88,0.42,0.33,0.0,0-25th
291,6,0,24283.0,16.9,1.3,73.8,21.3,2.3,1.3,3.71,4.05,3.63,4.12,4.1,3.07,25.5,82.2,2.9,478.0,3.46,0.31,0.2,0.0,0-25th
292,52,2,20726.0,22.62,5.7,71.1,20.5,0.6,2.1,4.48,4.23,3.9,4.47,4.48,3.94,18.2,86.3,2.1,336.0,2.55,0.51,0.4,0.04,75-100th
293,15,1,23994.0,16.86,1.7,70.7,22.2,1.3,4.0,3.64,3.89,3.5,4.63,4.02,4.39,35.0,94.6,11.8,297.0,3.26,0.21,0.15,0.07,25-50th
294,24,1,25266.0,22.8,5.1,23.9,65.4,3.5,2.1,3.62,3.73,3.76,3.95,3.59,3.71,19.7,97.4,9.5,431.0,2.8,0.48,0.37,0.04,50-75th
295,12,0,23704.0,23.33,4.7,19.7,71.2,2.6,1.7,4.44,3.56,3.91,3.77,3.64,4.11,21.9,96.1,17.6,466.0,2.88,0.37,0.29,0.0,25-50th
296,12,0,26395.0,25.33,1.5,65.7,30.3,1.0,1.5,1.97,2.37,2.58,2.57,3.64,3.18,25.9,92.5,10.4,201.0,2.16,0.21,0.15,0.0,25-50th
297,16,1,23649.0,20.17,2.8,57.7,37.5,0.0,2.0,3.15,3.56,3.12,3.77,4.49,4.21,27.7,90.5,10.3,253.0,3.03,0.25,0.17,0.06,25-50th
299,51,6,17715.0,30.91,23.5,1.5,30.2,1.0,43.8,4.04,4.19,3.68,3.33,3.74,3.76,20.3,80.0,22.9,911.0,3.41,0.58,0.59,0.12,50-75th
300,104,2,18979.0,22.75,32.6,19.8,33.1,0.8,13.6,3.59,3.49,4.02,3.79,2.87,3.8,18.4,87.4,21.5,1204.0,3.73,0.44,0.38,0.02,75-100th
301,87,11,17338.0,27.15,20.0,4.3,26.6,2.8,46.2,4.36,4.73,3.78,4.23,3.78,4.04,14.4,64.0,11.4,1265.0,3.25,0.66,0.68,0.13,75-100th
302,39,7,20799.0,22.73,31.3,1.3,34.8,0.3,32.4,4.46,3.87,3.39,3.75,3.08,3.96,18.6,80.4,22.7,633.0,3.65,0.53,0.54,0.18,50-75th
303,113,38,21016.0,26.2,45.6,0.8,27.3,1.3,25.0,4.02,4.59,4.06,4.52,3.21,4.34,15.1,87.9,30.4,1136.0,3.79,0.6,0.63,0.34,75-100th
304,251,205,17403.0,27.71,67.5,1.3,6.8,0.6,23.9,4.84,4.48,4.44,4.16,3.74,4.17,11.3,65.8,3.3,873.0,4.36,0.9,0.9,0.82,75-100th
305,14,0,20869.0,22.85,21.7,1.8,47.1,0.7,28.7,4.36,4.27,3.63,3.75,4.2,3.71,20.8,85.2,31.8,677.0,4.21,0.43,0.4,0.0,25-50th
306,338,101,16042.0,27.16,51.8,0.6,15.4,0.6,31.6,4.33,4.63,4.18,4.04,2.92,4.09,13.4,75.3,9.0,1584.0,4.04,0.7,0.69,0.3,75-100th
307,181,27,17554.0,22.58,52.5,1.3,41.9,0.1,4.2,2.44,3.02,2.78,3.2,1.55,3.22,14.7,86.1,33.8,1520.0,3.74,0.42,0.45,0.15,75-100th
308,142,19,18781.0,18.15,62.1,1.8,26.1,0.5,9.5,3.47,3.06,3.17,3.27,2.08,3.64,14.7,97.5,33.6,950.0,3.94,0.46,0.52,0.13,75-100th
309,197,25,18500.0,26.33,59.8,0.5,26.5,0.5,12.7,3.06,3.64,3.42,3.7,2.37,3.83,14.1,92.1,27.7,1506.0,2.76,0.49,0.5,0.13,75-100th
310,93,20,15882.0,30.24,59.5,1.4,12.0,1.1,25.9,4.5,3.4,3.62,3.13,3.78,3.53,14.1,59.5,11.9,1249.0,3.8,0.69,0.73,0.22,75-100th
311,309,86,16732.0,24.6,44.4,1.2,20.1,0.6,33.6,4.7,4.65,4.03,4.23,2.83,3.93,12.0,80.5,13.1,1852.0,4.07,0.65,0.64,0.28,75-100th
312,24,1,15834.0,14.79,47.7,16.4,18.3,1.8,15.8,4.36,3.89,3.87,4.12,3.15,4.13,14.4,94.4,14.9,556.0,4.47,0.43,0.37,0.04,50-75th
313,80,46,19077.0,34.36,20.0,4.9,4.9,2.8,67.3,4.55,4.07,3.5,3.77,4.09,4.0,6.2,22.4,8.7,566.0,4.61,0.89,0.9,0.57,75-100th
314,12,0,19397.0,25.04,35.1,8.2,35.3,0.7,20.7,4.52,4.77,4.15,4.58,4.17,4.41,17.0,74.2,12.9,943.0,3.85,0.56,0.58,0.0,25-50th
315,114,9,20390.0,21.61,33.4,9.5,26.2,1.3,29.7,3.53,4.5,3.78,4.06,3.59,4.1,22.3,78.3,31.3,779.0,3.81,0.39,0.36,0.08,75-100th
316,372,104,14587.0,27.9,27.3,2.8,8.8,2.6,58.6,4.84,4.61,3.97,4.27,3.09,3.94,9.2,55.0,1.4,1530.0,4.4,0.86,0.86,0.28,75-100th
317,17,1,16662.0,27.9,42.2,7.5,17.8,0.8,31.6,4.15,4.14,3.66,4.49,3.77,4.45,12.9,73.7,27.9,876.0,4.01,0.45,0.46,0.06,25-50th
318,7,0,25182.0,18.0,20.2,2.4,42.3,2.1,33.0,4.46,4.55,4.15,4.59,4.02,4.24,27.1,64.3,19.0,336.0,3.97,0.51,0.51,0.0,0-25th
319,33,2,21392.0,23.59,31.5,3.4,24.1,1.0,40.0,3.87,3.69,3.23,3.32,2.82,3.72,26.3,79.5,19.2,733.0,4.03,0.5,0.49,0.06,50-75th
320,42,2,22552.0,24.85,19.6,2.0,33.4,1.0,44.0,3.15,2.99,2.18,3.22,1.89,2.9,19.6,76.7,40.9,1011.0,3.47,0.38,0.38,0.05,50-75th
321,44,7,21604.0,24.57,30.5,1.7,29.5,1.0,37.4,4.32,3.68,3.74,3.89,3.64,3.88,15.8,85.7,26.1,1030.0,3.99,0.56,0.55,0.16,50-75th
322,160,17,19422.0,20.96,28.8,5.3,26.5,1.1,38.4,4.28,3.97,3.59,4.18,2.93,3.58,15.6,79.9,10.5,1311.0,3.76,0.58,0.56,0.11,75-100th
323,14,0,28083.0,23.4,20.9,4.1,49.6,1.1,24.2,4.2,3.51,3.12,3.31,2.45,3.53,20.3,81.3,33.1,611.0,3.01,0.37,0.31,0.0,25-50th
324,336,196,16814.0,30.51,27.8,6.9,5.7,8.2,51.4,4.07,4.5,3.9,3.77,3.49,3.77,11.9,37.7,1.1,1322.0,4.16,0.88,0.88,0.58,75-100th
325,171,30,17645.0,25.04,41.0,6.4,24.2,0.4,28.0,3.21,4.07,3.35,3.55,2.0,2.92,18.1,86.9,17.5,1334.0,4.03,0.51,0.47,0.18,75-100th
326,0,0,23296.0,18.79,1.7,59.9,32.1,0.5,5.9,3.25,3.29,2.69,3.07,3.3,3.09,29.4,92.6,6.0,663.0,3.28,0.23,0.19,,0-25th
327,38,2,19061.0,24.61,21.6,10.2,38.5,0.7,29.0,3.23,3.04,2.66,3.04,2.48,2.52,15.8,77.0,14.1,538.0,3.4,0.42,0.34,0.05,50-75th
328,15,1,17445.0,14.77,7.5,24.0,29.2,2.1,37.1,4.76,4.83,3.38,4.62,3.78,4.31,18.7,70.8,1.5,657.0,3.86,0.49,0.4,0.07,25-50th
329,19,1,16564.0,11.79,21.4,3.5,29.2,1.3,44.6,3.58,3.55,3.3,3.41,2.16,3.09,19.7,75.9,15.7,942.0,3.73,0.45,0.41,0.05,25-50th
330,41,2,26293.0,18.6,14.9,38.9,16.6,1.7,28.0,4.0,3.8,2.99,4.04,3.08,3.9,24.8,91.2,24.4,525.0,3.29,0.35,0.28,0.05,50-75th
331,35,2,20043.0,21.76,6.9,70.2,9.2,1.6,12.2,4.1,3.91,3.88,4.06,3.72,4.14,26.1,84.7,6.7,567.0,2.33,0.43,0.3,0.06,50-75th
332,12,0,26143.0,16.9,1.8,80.0,14.5,1.3,2.3,2.33,2.09,2.51,2.68,2.48,2.62,24.2,86.5,6.0,681.0,3.39,0.38,0.32,0.0,25-50th
333,51,9,16572.0,27.05,47.6,1.6,9.6,1.5,39.6,3.84,4.36,3.71,3.78,3.7,3.61,12.4,73.3,22.6,1505.0,3.48,0.62,0.66,0.18,50-75th
334,43,2,16136.0,27.06,12.3,33.9,15.6,2.1,36.2,3.52,4.41,3.56,3.79,4.09,3.7,19.0,50.7,4.3,1228.0,3.13,0.63,0.63,0.05,50-75th
335,370,79,14816.0,29.57,24.4,16.8,13.0,1.6,44.3,3.94,4.31,3.31,3.57,3.44,3.35,14.3,71.1,9.8,1907.0,3.55,0.65,0.62,0.21,75-100th
336,74,2,18569.0,20.82,18.6,58.0,13.6,1.3,8.5,2.34,1.9,2.3,2.33,2.99,2.67,17.6,85.2,13.7,743.0,2.95,0.42,0.31,0.03,75-100th
337,98,7,19460.0,22.88,10.0,42.6,17.3,2.3,27.8,4.31,4.36,3.27,3.57,3.62,3.27,17.7,70.2,4.9,1106.0,3.4,0.58,0.47,0.07,75-100th
338,30,2,20669.0,23.5,9.0,52.5,20.1,2.0,16.4,4.39,4.8,3.73,4.33,3.97,4.2,18.4,68.9,15.6,244.0,4.0,0.47,0.36,0.07,50-75th
339,0,0,30531.0,21.69,0.4,60.0,31.3,5.0,3.3,3.4,3.29,2.77,3.31,2.65,3.57,32.6,98.2,7.7,457.0,3.01,0.22,0.18,,0-25th
340,9,0,27591.0,14.7,0.0,74.9,19.5,4.3,1.3,2.78,3.2,3.16,3.23,4.24,4.16,28.1,93.1,4.3,303.0,3.33,0.32,0.27,0.0,0-25th
341,8,0,21314.0,21.29,2.9,51.2,43.5,1.0,1.4,3.57,3.15,2.9,3.32,3.64,3.94,21.9,97.1,16.1,416.0,3.07,0.31,0.28,0.0,0-25th
342,0,0,22970.0,18.0,1.9,75.3,18.0,1.6,3.2,3.42,4.03,2.78,4.02,3.98,4.49,18.8,88.1,5.6,377.0,2.68,0.35,0.3,,0-25th
343,0,0,21675.0,20.39,0.2,71.8,26.5,0.9,0.7,3.33,3.0,2.83,3.2,3.6,3.25,26.6,90.8,4.1,567.0,2.43,0.25,0.21,,0-25th
344,9,0,20515.0,20.96,0.0,66.2,32.7,0.4,0.6,2.66,3.16,2.8,3.34,4.24,3.69,27.0,93.9,9.5,474.0,3.24,0.27,0.22,0.0,0-25th
345,10,0,22362.0,26.53,1.2,77.5,20.2,0.9,0.2,4.04,4.36,2.8,3.73,3.95,3.64,17.0,93.1,3.3,569.0,2.23,0.3,0.24,0.0,0-25th
346,9,0,22383.0,21.2,1.2,66.4,28.7,1.5,2.1,3.11,3.56,2.76,3.25,3.12,3.38,24.2,97.6,9.2,327.0,2.17,0.22,0.2,0.0,0-25th
347,0,0,23663.0,13.33,0.0,65.7,30.6,2.8,0.9,2.98,3.13,3.34,2.29,3.44,3.08,35.2,90.7,9.3,108.0,3.01,0.26,0.15,,0-25th
348,46,2,18977.0,22.17,4.1,74.9,15.6,4.7,0.7,3.54,3.89,3.65,4.45,4.03,3.97,16.6,74.6,0.7,295.0,2.79,0.65,0.57,0.04,50-75th
349,20,1,22828.0,19.42,0.0,87.7,9.2,2.6,0.4,2.78,3.58,2.32,3.82,3.55,3.31,30.7,82.0,1.3,228.0,2.49,0.31,0.2,0.05,25-50th
350,9,0,19842.0,17.0,1.3,85.6,12.5,0.6,0.0,3.03,3.21,3.65,3.44,4.04,4.54,38.1,89.4,1.9,160.0,3.33,0.24,0.15,0.0,0-25th
351,12,0,19182.0,16.03,0.6,88.7,8.3,1.7,0.6,3.63,3.99,4.32,4.5,4.52,4.64,25.5,80.1,0.6,647.0,3.6,0.31,0.19,0.0,25-50th
352,12,0,29372.0,17.33,0.0,73.7,18.9,2.1,5.3,3.58,3.83,3.37,4.06,4.1,4.47,40.0,97.9,6.3,95.0,3.57,0.26,0.15,0.0,25-50th
353,6,0,36825.0,16.33,3.9,74.0,18.1,2.4,1.6,3.44,3.26,3.41,3.34,4.26,3.28,39.4,96.9,12.6,127.0,3.03,0.2,0.15,0.0,0-25th
354,10,0,22732.0,17.75,1.0,82.9,15.6,0.0,0.5,3.78,3.91,3.99,4.35,4.09,4.15,25.6,94.5,0.0,199.0,3.89,0.27,0.18,0.0,0-25th
355,0,0,17817.0,9.96,2.0,75.6,17.6,0.8,4.0,2.62,3.18,2.89,3.01,3.35,3.14,34.4,88.0,6.8,250.0,2.45,0.23,0.15,,0-25th
356,264,40,19737.0,24.18,43.7,1.6,51.7,0.9,2.2,3.75,3.97,3.43,3.05,2.25,3.5,17.0,78.6,16.6,1798.0,3.75,0.57,0.55,0.15,75-100th
357,43,14,15532.0,29.76,18.6,0.5,24.0,1.3,55.6,3.93,4.42,3.07,3.85,3.81,4.01,15.9,47.5,6.5,1160.0,3.34,0.67,0.68,0.33,50-75th
359,394,73,16468.0,24.06,29.1,1.1,57.7,0.7,11.4,3.65,3.57,3.15,2.84,1.97,3.3,19.4,70.3,14.4,1971.0,4.08,0.55,0.51,0.19,75-100th
360,61,2,18979.0,22.56,9.2,2.2,78.3,0.4,10.0,3.81,3.93,3.54,3.5,2.93,3.73,28.1,92.1,21.3,1012.0,3.34,0.37,0.3,0.03,75-100th
361,12,0,22949.0,19.32,3.3,2.1,52.0,1.8,40.8,3.4,4.7,2.89,4.32,4.11,4.0,22.4,63.0,8.6,606.0,2.51,0.57,0.52,0.0,25-50th
362,78,2,17462.0,22.58,9.2,1.9,71.2,0.5,17.2,3.85,3.94,3.24,3.62,3.45,3.99,21.7,94.7,15.3,1099.0,3.24,0.46,0.4,0.03,75-100th
363,67,17,17688.0,28.48,60.9,2.9,32.0,0.9,3.3,4.17,3.41,4.07,2.83,3.43,3.35,13.3,85.4,14.4,1326.0,4.16,0.61,0.61,0.25,75-100th
364,26,2,15862.0,30.34,5.2,1.0,41.9,1.1,50.8,4.15,3.93,4.16,4.29,4.23,4.58,15.2,55.5,5.1,896.0,3.4,0.67,0.66,0.08,50-75th
365,104,59,16218.0,26.71,25.8,1.8,30.4,2.6,39.4,4.25,3.96,3.18,4.11,2.62,2.76,8.8,73.3,3.6,1277.0,3.21,0.74,0.73,0.57,75-100th
366,272,34,16325.0,26.27,38.2,1.9,54.3,0.9,4.8,4.34,4.41,3.91,3.57,2.87,3.71,16.5,75.7,17.2,1504.0,3.5,0.53,0.49,0.12,75-100th
367,46,9,15785.0,32.46,3.3,0.5,19.6,0.4,76.2,4.17,3.75,3.42,3.3,3.94,3.03,14.0,36.4,4.0,969.0,3.4,0.78,0.76,0.2,50-75th
368,16,1,23093.0,33.33,2.0,1.1,96.2,0.3,0.4,3.56,3.9,3.82,3.71,3.14,3.93,18.8,97.4,23.9,733.0,3.07,0.38,0.32,0.06,25-50th
369,35,2,19211.0,31.55,23.8,4.4,55.2,1.4,15.3,3.69,3.67,4.33,3.52,3.67,3.84,15.5,77.0,5.0,665.0,4.33,0.84,0.82,0.06,50-75th
370,147,29,17789.0,27.86,53.2,2.5,23.9,0.9,19.5,3.09,3.46,3.55,3.46,3.27,3.17,14.9,58.2,13.0,1028.0,3.41,0.66,0.66,0.2,75-100th
371,38,6,19557.0,24.31,31.7,4.8,27.1,1.7,34.6,2.73,3.49,2.91,3.39,3.69,3.71,15.3,73.4,15.6,693.0,3.18,0.64,0.63,0.16,50-75th
372,250,93,15314.0,25.76,55.7,2.6,29.8,0.7,11.2,3.61,4.37,3.74,3.94,3.15,3.81,14.4,76.7,12.5,1521.0,3.76,0.65,0.64,0.37,75-100th
373,97,17,19007.0,22.61,66.0,3.0,27.5,0.5,3.0,3.7,4.0,3.76,3.35,2.53,3.33,16.0,77.2,26.8,771.0,3.12,0.56,0.58,0.18,75-100th
374,147,54,16444.0,24.79,38.6,1.3,31.3,1.0,27.7,3.32,3.9,2.97,3.0,2.97,3.06,16.7,59.5,9.0,1241.0,2.89,0.66,0.65,0.37,75-100th
375,9,0,21978.0,23.79,14.8,21.6,46.9,2.3,14.4,3.78,4.29,3.37,4.04,3.77,3.7,16.3,72.2,5.2,522.0,2.66,0.57,0.52,0.0,0-25th
376,29,7,23409.0,21.89,48.3,7.0,28.5,1.1,15.1,3.48,2.64,3.56,3.81,2.87,2.89,27.6,73.5,18.2,642.0,4.38,0.5,0.52,0.24,50-75th
377,194,53,17686.0,22.05,74.6,5.9,16.8,0.7,1.9,3.65,3.84,3.02,3.67,2.45,2.78,13.0,84.3,21.7,1368.0,3.18,0.59,0.64,0.27,75-100th
378,41,2,19854.0,23.5,35.8,23.3,27.3,3.8,9.8,2.87,3.04,2.48,2.89,2.06,3.15,18.8,82.2,15.8,399.0,3.21,0.45,0.38,0.05,50-75th
379,23,1,17410.0,9.61,40.8,16.1,24.1,1.9,17.0,3.89,4.23,3.73,3.47,3.57,3.69,14.8,59.7,4.7,576.0,2.93,0.64,0.61,0.04,50-75th
380,70,20,16753.0,27.96,67.3,8.3,18.8,0.9,4.6,3.87,3.98,3.92,2.37,3.3,3.07,13.3,86.3,6.0,649.0,4.13,0.75,0.78,0.29,75-100th
381,16,1,16645.0,26.48,15.0,3.7,35.6,1.9,43.7,3.48,4.23,3.23,4.11,3.57,3.83,18.7,56.4,1.6,567.0,3.48,0.69,0.63,0.06,25-50th
382,69,21,19414.0,30.58,30.9,5.1,31.2,1.6,31.2,4.68,3.98,3.9,3.06,4.29,3.39,24.0,48.3,1.6,375.0,4.61,0.68,0.65,0.3,75-100th
383,40,13,18680.0,26.63,54.2,20.9,12.8,4.0,8.1,3.63,4.41,4.27,3.53,4.31,3.58,9.3,50.0,6.3,506.0,3.85,0.78,0.8,0.32,50-75th
384,211,82,15818.0,27.53,60.6,3.7,11.7,1.8,22.1,4.24,3.85,3.9,4.0,3.95,3.71,8.8,40.3,3.9,894.0,3.9,0.83,0.83,0.39,75-100th
385,233,95,18300.0,27.08,66.5,4.3,10.7,1.1,17.4,4.24,4.47,3.93,4.02,3.77,3.59,13.2,48.4,7.6,1160.0,3.55,0.79,0.81,0.41,75-100th
386,236,84,15763.0,29.47,62.3,4.8,14.8,1.4,16.6,4.22,2.51,3.39,1.5,2.49,2.42,12.8,56.0,7.6,1059.0,3.08,0.76,0.78,0.36,75-100th
387,189,33,16768.0,26.89,63.6,8.8,15.1,1.4,11.0,3.02,2.32,2.8,2.19,3.39,2.46,16.1,62.3,5.0,978.0,3.52,0.7,0.66,0.17,75-100th
388,23,2,16827.0,30.0,12.9,6.9,10.2,2.5,67.5,4.17,4.22,3.65,3.44,4.11,3.62,14.3,36.7,5.5,566.0,3.48,0.61,0.62,0.09,50-75th
389,304,95,14916.0,28.42,65.8,4.9,13.2,2.0,14.1,4.67,4.12,3.93,3.57,3.49,3.35,12.7,67.4,6.2,1464.0,4.23,0.74,0.73,0.31,75-100th
390,33,8,19489.0,28.71,40.1,19.9,22.7,2.9,14.5,4.23,4.17,3.4,4.01,4.15,3.6,21.4,53.5,3.1,649.0,3.1,0.7,0.66,0.24,50-75th
391,0,0,21265.0,20.6,1.4,72.6,22.6,2.0,1.4,3.63,3.62,3.12,2.91,3.3,3.52,26.1,96.0,3.5,658.0,2.85,0.23,0.19,,0-25th
392,7,0,21459.0,21.38,2.4,57.9,33.2,1.6,4.9,2.55,2.97,2.85,2.34,1.8,2.28,20.6,90.9,8.9,901.0,2.8,0.3,0.27,0.0,0-25th
393,0,0,23881.0,23.2,0.5,1.4,18.5,1.4,78.2,4.36,4.65,3.96,4.0,4.55,4.08,25.5,34.3,1.4,216.0,4.35,0.61,0.53,,0-25th
394,16,1,24932.0,15.26,1.1,52.1,43.1,2.2,1.5,3.72,3.76,3.24,3.2,3.42,3.46,32.6,80.9,20.6,267.0,2.85,0.15,0.15,0.06,25-50th
395,7,0,19708.0,23.15,2.5,62.8,32.5,0.7,1.5,3.03,3.36,2.59,3.42,3.66,3.5,28.8,88.1,5.2,815.0,2.48,0.26,0.21,0.0,0-25th
396,0,0,20779.0,24.33,0.7,2.1,10.8,1.3,85.1,3.89,4.42,3.55,4.05,3.89,3.81,22.1,24.4,0.4,669.0,3.73,0.73,0.74,,0-25th
397,52,2,15951.0,29.96,48.1,20.0,22.1,6.8,3.0,3.12,3.6,3.16,3.23,3.46,3.84,12.1,62.7,7.2,1229.0,2.92,0.54,0.52,0.04,75-100th
398,179,23,15967.0,26.27,55.0,5.4,33.7,3.5,2.4,4.29,4.4,3.25,3.62,2.79,3.6,15.7,87.7,9.7,1890.0,3.96,0.53,0.45,0.13,75-100th
399,11,0,20691.0,25.45,4.3,2.1,38.6,1.0,54.0,3.59,4.6,2.93,3.73,3.81,3.54,22.1,47.5,1.9,678.0,3.88,0.6,0.54,0.0,25-50th
400,0,0,22141.0,20.46,3.0,55.8,31.8,3.8,5.5,2.73,2.44,3.13,2.0,3.3,3.22,32.2,92.8,5.9,525.0,3.78,0.2,0.15,,0-25th
401,98,18,16679.0,24.52,34.1,7.4,46.6,5.1,6.8,4.37,4.53,3.74,3.94,3.38,3.46,15.1,79.9,7.8,1097.0,2.81,0.58,0.53,0.18,75-100th
402,14,0,24228.0,22.82,3.2,1.3,18.5,1.0,75.9,3.55,4.13,3.89,3.79,3.72,3.43,19.3,34.6,0.6,680.0,2.6,0.7,0.69,0.0,25-50th
403,169,21,16900.0,25.47,28.8,5.1,59.8,2.7,3.6,2.64,2.32,2.14,2.68,1.72,2.2,16.3,84.5,16.0,1880.0,2.23,0.5,0.46,0.12,75-100th
404,58,2,18695.0,22.9,24.7,38.2,16.6,18.7,1.9,3.31,3.53,2.73,3.76,2.79,2.78,20.4,90.6,6.3,916.0,2.27,0.43,0.34,0.03,75-100th
405,33,2,17295.0,29.26,9.6,8.5,46.8,1.8,33.4,4.83,4.59,4.02,4.17,4.11,4.05,18.1,61.9,4.6,970.0,4.13,0.58,0.51,0.06,50-75th
406,15,1,21414.0,19.45,8.7,42.9,34.3,2.0,12.0,4.38,4.56,3.46,4.0,3.57,3.77,12.8,72.6,2.0,888.0,2.63,0.61,0.54,0.07,25-50th
407,42,2,16253.0,26.2,3.8,50.0,42.8,1.1,2.3,4.21,3.37,4.5,3.18,4.13,3.25,16.7,82.6,6.4,264.0,4.64,0.44,0.34,0.05,50-75th
408,25,2,23343.0,15.0,32.2,34.7,20.2,11.2,1.6,4.53,4.6,3.91,4.33,4.91,4.39,20.5,91.5,4.4,366.0,2.87,0.48,0.38,0.08,50-75th
409,13,1,16574.0,9.56,6.3,43.2,43.7,3.0,3.9,3.02,3.56,3.35,3.84,3.46,3.98,15.8,78.6,17.2,639.0,2.96,0.3,0.22,0.08,25-50th
410,0,0,21413.0,15.26,1.8,50.9,37.3,1.8,8.3,4.06,4.35,3.56,4.19,4.15,3.68,27.2,89.0,6.1,228.0,3.22,0.3,0.21,,0-25th
411,37,2,21886.0,21.6,1.1,56.3,39.3,1.1,2.2,3.93,4.3,3.46,4.13,3.89,4.18,21.7,82.5,17.0,359.0,3.41,0.22,0.15,0.05,50-75th
412,104,27,13509.0,30.56,19.6,16.8,19.9,1.7,42.0,4.78,4.5,4.22,4.04,4.29,4.03,11.6,47.3,0.1,1376.0,4.61,0.9,0.89,0.26,75-100th
413,9,0,18842.0,22.54,3.5,69.9,20.8,3.7,2.1,2.26,2.2,2.9,2.36,2.31,1.91,6.8,79.2,0.2,428.0,2.31,0.53,0.46,0.0,0-25th
414,12,0,22537.0,17.39,17.7,44.8,22.1,14.5,0.9,3.47,3.87,2.69,3.75,2.85,3.83,19.8,90.6,12.7,339.0,3.36,0.36,0.26,0.0,25-50th
415,37,2,18857.0,21.12,8.8,68.5,14.7,5.9,2.1,3.39,2.62,2.42,2.92,2.35,2.25,29.1,81.3,6.9,375.0,2.77,0.24,0.15,0.05,50-75th
416,249,52,17293.0,22.43,23.2,8.1,24.6,3.6,40.5,4.7,4.06,3.54,3.55,3.6,3.4,14.9,53.4,9.6,1636.0,4.0,0.65,0.62,0.21,75-100th
417,21,1,17773.0,24.2,19.6,17.1,39.7,6.9,16.6,3.86,4.58,3.94,4.09,3.94,4.02,19.0,71.1,1.9,841.0,1.97,0.61,0.52,0.05,25-50th
418,172,53,17598.0,22.98,33.6,6.6,28.0,3.4,28.3,3.21,2.53,2.17,2.34,1.97,1.65,13.4,42.2,9.5,1055.0,2.92,0.69,0.67,0.31,75-100th
419,175,24,16911.0,23.99,36.3,16.4,39.6,3.7,4.0,4.73,4.52,3.54,4.35,3.72,4.02,16.0,69.9,16.7,1630.0,3.99,0.44,0.37,0.14,75-100th
420,21,1,15475.0,22.77,28.0,50.6,8.2,11.6,1.5,4.11,3.5,4.05,3.65,4.0,3.49,10.5,71.5,1.1,646.0,3.8,0.67,0.6,0.05,25-50th
421,21,1,25550.0,21.2,19.7,50.7,20.3,7.1,2.2,3.36,3.3,3.11,3.4,2.53,3.34,25.8,85.8,12.6,365.0,3.01,0.3,0.22,0.05,25-50th
422,24,1,18033.0,13.2,27.9,46.6,15.9,7.9,1.6,3.3,2.53,2.85,2.89,2.94,2.71,16.1,86.1,7.5,671.0,3.86,0.49,0.38,0.04,50-75th
425,61,23,15678.0,21.34,50.6,27.1,9.7,8.4,4.2,3.51,2.65,3.6,2.85,1.6,1.1,12.2,62.6,1.3,690.0,4.34,0.86,0.85,0.38,75-100th
426,29,9,15406.0,26.38,36.6,43.9,11.7,5.5,2.3,3.91,4.07,3.91,3.55,3.41,3.53,15.1,79.0,1.4,563.0,3.91,0.79,0.71,0.31,50-75th
427,56,2,19921.0,21.04,1.9,86.5,5.6,4.6,1.4,3.59,3.78,3.17,4.05,4.03,3.53,19.3,73.7,2.6,586.0,2.93,0.41,0.23,0.04,75-100th
